thumb_sensor,index_finger_sensor,middle_finger_sensor,ring_finger_sensor,little_finger_sensor,palm_sensor
53,147,271,240,60,254
54,146,270,240,60,254
54,146,272,240,60,255
54,147,274,241,60,253
54,147,274,240,60,254
54,147,274,240,61,254
53,147,273,241,61,254
54,147,274,241,60,255
53,147,274,240,59,255
53,147,274,240,60,255
54,147,274,241,60,255
53,147,274,240,59,255
54,147,274,241,60,255
54,146,274,240,59,255
54,147,274,240,59,254
54,147,274,241,60,255
53,147,274,240,60,255
54,147,274,241,59,255
54,147,274,240,60,255
54,147,274,241,59,255
54,147,274,241,59,255
55,148,275,241,59,255
54,147,274,241,60,255
54,148,274,241,60,256
53,148,274,241,59,255
54,147,275,241,60,256
54,148,274,240,59,256
54,147,274,241,59,255
54,148,275,241,59,256
55,147,275,240,60,256
54,147,276,241,60,256
54,148,274,241,60,256
54,147,275,240,59,256
54,147,275,240,59,256
55,147,275,241,59,256
54,147,275,240,59,256
55,147,275,240,59,256
55,148,275,241,59,256
54,148,275,240,59,255
55,148,276,241,60,255
54,148,275,240,60,255
54,148,275,241,60,256
54,148,275,241,59,255
55,148,275,241,59,255
54,148,275,241,60,255
55,148,275,241,60,255
54,148,275,240,59,255
54,148,275,241,60,255
54,148,275,240,60,255
54,148,275,240,59,255
54,148,275,240,59,255
54,148,275,241,60,256
54,148,275,241,60,255
54,148,275,241,60,256
54,148,274,241,59,255
54,148,274,241,59,255
53,147,274,241,60,255
54,148,257,241,60,256
54,148,274,240,60,256
54,149,273,241,60,255
54,148,274,242,60,255
54,149,273,241,60,254
54,149,273,240,60,255
54,148,274,241,60,255
54,148,274,240,60,254
54,149,274,240,60,254
54,148,273,241,60,255
53,148,274,241,60,255
54,149,274,240,59,255
54,149,274,241,59,254
53,149,275,240,60,255
54,148,274,240,60,254
54,148,274,241,59,255
54,148,274,241,60,254
53,148,275,241,60,253
54,148,274,241,60,254
54,149,274,241,60,254
54,149,274,241,60,254
54,149,275,241,60,254
54,148,275,241,59,254
54,148,274,241,60,255
55,149,274,241,60,256
55,148,274,241,60,255
54,148,275,241,60,253
54,149,274,240,60,254
54,148,275,241,60,253
55,149,274,241,59,254
55,148,275,241,60,254
54,148,275,241,60,254
54,149,275,241,60,254
54,148,274,240,60,255
55,148,274,242,60,254
55,148,275,241,59,255
